tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_name,loser_id,loser_name,score,best_of,round,source
fs-atp-20260313-l0M0GsKD,"Indian Wells (USA), hard",Hard,,A,20260313,71082,207989,Carlos Alcaraz,111815,Cameron Norrie,6-3 6-4,3,R32,custom
fs-atp-20260313-GSkTVyxi,"Indian Wells (USA), hard",Hard,,A,20260313,16467,106421,Daniil Medvedev,145281,J K Draper,1-6 5-7,3,R32,custom
fs-atp-20260312-pYhKbJFk,"Indian Wells (USA), hard",Hard,,A,20260312,689681,206173,Jannik Sinner,210530,Learner Tien,1-6 2-6,3,R32,custom
fs-atp-20260312-nTVr3kE4,"Indian Wells (USA), hard",Hard,,A,20260312,947051,100644,Alexander Zverev,209950,Arthur Fils,2-6 3-6,3,R32,custom
fs-atp-20260312-KYeODYuh,"Indian Wells (USA), hard",Hard,,A,20260312,94299,145281,J K Draper,104925,Novak Djokovic,6-4 4-6,3,R32,custom
fs-atp-20260311-Ai2VvikD,"Indian Wells (USA), hard",Hard,,A,20260311,269420,207989,Carlos Alcaraz,102104,Christian Ruud,6-1,3,R32,custom
fs-atp-20260311-8tomcY4s,"Indian Wells (USA), hard",Hard,,A,20260311,21362,106421,Daniil Medvedev,210506,Alex Michelsen,6-2 6-4,3,R32,custom
fs-atp-20260311-4p6Ux1WH,"Indian Wells (USA), hard",Hard,,A,20260311,150758,111815,Cameron Norrie,208014,Rinky Hijikata,4-6 2-6,3,R32,custom
fs-atp-20260310-2eb9q2k3,"Indian Wells (USA), hard",Hard,,A,20260310,714167,210530,Learner Tien,200221,Alejandro Davidovich Fokina,4-6 6-1,3,R32,custom
fs-atp-20260310-lULp2MJk,"Indian Wells (USA), hard",Hard,,A,20260310,464704,100644,Alexander Zverev,126207,Frances Tiafoe,3-6 4-6,3,R32,custom
fs-atp-20260310-dfPh00l2,"Indian Wells (USA), hard",Hard,,A,20260310,623723,209950,Arthur Fils,200000,Felix Auger Aliassime,6-3,3,R32,custom
fs-atp-20260310-dfwnRNlB,"Indian Wells (USA), hard",Hard,,A,20260310,697023,106421,Daniil Medvedev,202104,Sebastian Baez,6-4 6-0,3,R32,custom
fs-atp-20260310-M5KEzVM0,"Indian Wells (USA), hard",Hard,,A,20260310,205309,207989,Carlos Alcaraz,126239,Arthur Rinderknech,6-3 6-2,3,R32,custom
fs-atp-20260310-MByZudOa,"Indian Wells (USA), hard",Hard,,A,20260310,226937,102104,Christian Ruud,200473,Valentin Vacherot,6-3 3-6 4-6,3,R32,custom
fs-atp-20260309-bNo7JWn2,"Indian Wells (USA), hard",Hard,,A,20260309,998156,210506,Alex Michelsen,126203,Taylor Fritz,6-4,3,R32,custom
fs-atp-20260309-Opg9xgsR,"Indian Wells (USA), hard",Hard,,A,20260309,183968,145281,J K Draper,202103,Francisco Cerundolo,1-6 5-7,3,R32,custom
fs-atp-20260309-2g5J8FYq,"Indian Wells (USA), hard",Hard,,A,20260309,821825,208014,Rinky Hijikata,122330,Alexander Bublik,3-6,3,R32,custom
fs-atp-20260309-CC4JQJJl,"Indian Wells (USA), hard",Hard,,A,20260309,945101,104925,Novak Djokovic,217710,Ana Kovacevic,6-4 1-6 6-4,3,R32,custom
fs-atp-20260309-dxG8dCqK,"Indian Wells (USA), hard",Hard,,A,20260309,684169,111815,Cameron Norrie,200282,Alex De Minaur,6-4 6-4,3,R32,custom
fs-atp-20260309-rspuFSJq,"Indian Wells (USA), hard",Hard,,A,20260309,644112,128159,Joshua Fonseca,104652,Todd Paul,6-2 6-3,3,R32,custom
fs-atp-20260309-pQ2ROcl1,"Indian Wells (USA), hard",Hard,,A,20260309,379770,200000,Felix Auger Aliassime,209113,Gabriel Diallo,3-6 3-6,3,R32,custom
fs-atp-20260309-tzBG0YwJ,"Indian Wells (USA), hard",Hard,,A,20260309,988014,126207,Frances Tiafoe,207925,Flavio Cobolli,1-6 2-6,3,R32,custom
fs-atp-20260309-dO0Ay6mg,"Indian Wells (USA), hard",Hard,,A,20260309,554564,209950,Arthur Fils,105916,Marton Fucsovics,3-6 5-7,3,R32,custom
fs-atp-20260308-QJUhrWMb,"Indian Wells (USA), hard",Hard,,A,20260308,533991,206173,Jannik Sinner,133430,Denis Shapovalov,3-6 2-6,3,R32,custom
fs-atp-20260308-rZZxxAIF,"Indian Wells (USA), hard",Hard,,A,20260308,222096,200221,Alejandro Davidovich Fokina,210150,Jakub Mensik,6-2 4-6 6-2,3,R32,custom
fs-atp-20260308-UyaIZqI5,"Indian Wells (USA), hard",Hard,,A,20260308,778146,210530,Learner Tien,210097,Ben Shelton,6-4 3-6,3,R32,custom
fs-atp-20260308-fLsbnN1B,"Indian Wells (USA), hard",Hard,,A,20260308,128046,100644,Alexander Zverev,206909,Brandon Nakashima,7-5 4-6,3,R32,custom
fs-atp-20260308-U3NpKlGs,"Indian Wells (USA), hard",Hard,,A,20260308,151163,106421,Daniil Medvedev,126214,Alejandro Tabilo,6-4 6-2,3,R32,custom
fs-atp-20260308-SGrTdLIG,"Indian Wells (USA), hard",Hard,,A,20260308,292656,210506,Alex Michelsen,200005,Ugo Humbert,5-7,3,R32,custom
fs-atp-20260308-EaRKHpWF,"Indian Wells (USA), hard",Hard,,A,20260308,909698,122330,Alexander Bublik,200240,Vit Kopriva,3-6 6-2,3,R32,custom
fs-atp-20260308-IB2dZ53e,"Indian Wells (USA), hard",Hard,,A,20260308,928145,202104,Sebastian Baez,208103,Jiri Lehecka,6-4 6-1,3,R32,custom
fs-atp-20260308-AoalySYr,"Indian Wells (USA), hard",Hard,,A,20260308,675776,126203,Taylor Fritz,207985,Jacob Fearnley,3-6 1-6,3,R32,custom
