tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_name,loser_id,loser_name,score,best_of,round,source
fs-wta-20260314-CKrWRxM0,"Indian Wells (USA), hard",Hard,,A,20260314,897579,214544,Aryna Sabalenka,222328,Linda Noskova,6-3 6-4,3,R32,custom
fs-wta-20260314-84LSngGG,"Indian Wells (USA), hard",Hard,,A,20260314,791705,214981,Elena Rybakina,202494,Elina Svitolina,7-5 6-4,3,R32,custom
fs-wta-20260314-CKrWRxM0,"Indian Wells (USA), hard",Hard,,A,20260314,515681,214544,Aryna Sabalenka,222328,Linda Noskova,6-3 6-4,3,R32,custom
fs-wta-20260314-84LSngGG,"Indian Wells (USA), hard",Hard,,A,20260314,140961,214981,Elena Rybakina,202494,Elina Svitolina,7-5 6-4,3,R32,custom
fs-wta-20260314-84LSngGG,"Indian Wells (USA), hard",Hard,,A,20260314,898920,214981,Elena Rybakina,202494,Elina Svitolina,7-5 6-4,3,R32,custom
fs-wta-20260314-CKrWRxM0,"Indian Wells (USA), hard",Hard,,A,20260314,196148,214544,Aryna Sabalenka,222328,Linda Noskova,6-3 6-4,3,R32,custom
fs-wta-20260313-nksbxpbU,"Indian Wells (USA), hard",Hard,,A,20260313,354652,214981,Elena Rybakina,202468,Jessica Pegula,1-6,3,R32,custom
fs-wta-20260312-AgXDr62D,"Indian Wells (USA), hard",Hard,,A,20260312,489057,202494,Elina Svitolina,216347,Iga Swiatek,6-2 4-6 6-4,3,R32,custom
fs-wta-20260312-xQWWUsdo,"Indian Wells (USA), hard",Hard,,A,20260312,366859,222328,Linda Noskova,221883,Talia Gibson,6-2 4-6 6-2,3,R32,custom
fs-wta-20260312-085vntWq,"Indian Wells (USA), hard",Hard,,A,20260312,569638,214544,Aryna Sabalenka,239475,Victoria Mboko,6-4,3,R32,custom
fs-wta-20260312-j52eX5nB,"Indian Wells (USA), hard",Hard,,A,20260312,478916,214981,Elena Rybakina,222661,Sonay Kartal,4-6 3-4,3,R32,custom
fs-wta-20260311-rRVjJOhB,"Indian Wells (USA), hard",Hard,,A,20260311,965333,202494,Elina Svitolina,211701,Katerina Siniakova,1-6 1-1,3,R32,custom
fs-wta-20260311-WW7MvN15,"Indian Wells (USA), hard",Hard,,A,20260311,803083,202468,Jessica Pegula,208145,Brian Bencic,6-3,3,R32,custom
fs-wta-20260311-OIUE5Kt2,"Indian Wells (USA), hard",Hard,,A,20260311,810069,216347,Iga Swiatek,214096,Karolina Muchova,2-6 0-6,3,R32,custom
fs-wta-20260311-rVgDKUZG,"Indian Wells (USA), hard",Hard,,A,20260311,445004,222328,Linda Noskova,223253,Alexandra Eala,2-6 0-6,3,R32,custom
fs-wta-20260311-MFPoMsBL,"Indian Wells (USA), hard",Hard,,A,20260311,499998,239475,Victoria Mboko,216153,Amanda Anisimova,6-4 6-1,3,R32,custom
fs-wta-20260310-zk6NLbcd,"Indian Wells (USA), hard",Hard,,A,20260310,458125,221883,Talia Gibson,211148,Jasmine Paolini,7-5 2-6 6-1,3,R32,custom
fs-wta-20260310-WGPSqBqn,"Indian Wells (USA), hard",Hard,,A,20260310,457527,214544,Aryna Sabalenka,211768,Naomi Osaka,6-2 6-4,3,R32,custom
fs-wta-20260310-hQraLhIk,"Indian Wells (USA), hard",Hard,,A,20260310,35783,214981,Elena Rybakina,222981,Mariya Kostyuk,4-6 4-6,3,R32,custom
fs-wta-20260310-zmcR17La,"Indian Wells (USA), hard",Hard,,A,20260310,696758,222661,Sonay Kartal,201619,Madison Keys,6-2 2-6 3-6,3,R32,custom
