match_date,strategy,p1_name,p2_name,bet_side,odds,stake,won,pnl,bankroll_after
2025-09-24,flat_favorite,Marton Fucsovics,Frances Tiafoe,P1,1.75,1.0,1,0.75,100.75
2025-09-24,flat_favorite,Matteo Berrettini,Jaume Munar,P2,1.57,1.0,0,-1.0,99.75
2025-09-24,flat_favorite,Daniel Altmaier,Denis Shapovalov,P2,1.28,1.0,0,-1.0,98.75
2025-09-24,flat_favorite,Nuno Borges,Yosuke Watanuki,P1,1.56,1.0,1,0.56,99.31
2025-09-24,flat_favorite,David Goffin,Arthur Rinderknech,P1,1.62,1.0,0,-1.0,98.31
2025-10-13,flat_favorite,Marin Cilic,Nicolai Budkov Kjaer,P2,1.81,1.0,0,-1.0,97.31
2025-10-13,flat_favorite,Marton Fucsovics,Jesper de Jong,P1,1.53,1.0,1,0.53,97.84
2025-10-13,flat_favorite,Elias Ymer,Mikael Ymer,P2,1.62,1.0,0,-1.0,96.84
2025-10-13,flat_favorite,Elias Ymer,Jacob Fearnley,P2,1.17,1.0,0,-1.0,95.84
2025-10-13,flat_favorite,Kamil Majchrzak,Filip Misolic,P1,1.35,1.0,1,0.35,96.19
2025-10-13,flat_favorite,Matteo Berrettini,Giulio Zeppieri,P1,1.42,1.0,1,0.42,96.61
2025-10-13,flat_favorite,Lorenzo Sonego,Aleksandar Kovacevic,P1,1.4,1.0,1,0.4,97.01
2025-10-13,flat_favorite,Lorenzo Sonego,Arthur Fery,P1,1.57,1.0,1,0.57,97.58
2025-10-13,flat_favorite,Elias Ymer,Denis Shapovalov,P2,1.23,1.0,1,0.23,97.81
2025-10-13,flat_favorite,Denis Shapovalov,Leo Borg,P1,1.04,1.0,1,0.04,97.85
2025-10-13,flat_favorite,Marin Cilic,Casper Ruud,P2,1.35,1.0,1,0.35,98.2
2025-10-13,flat_favorite,Denis Shapovalov,Casper Ruud,P2,1.45,1.0,1,0.45,98.65
2025-10-13,flat_favorite,Casper Ruud,Sebastian Korda,P2,1.78,1.0,0,-1.0,97.65
2025-10-13,flat_favorite,Tomas Martin Etcheverry,Miomir Kecmanovic,P2,1.69,1.0,0,-1.0,96.65
2025-10-13,flat_favorite,Tomas Martin Etcheverry,Mark Lajal,P2,1.59,1.0,0,-1.0,95.65
2025-10-13,flat_favorite,Matteo Berrettini,Ugo Humbert,P1,1.82,1.0,0,-1.0,94.65
2025-10-13,flat_favorite,Lorenzo Sonego,Ugo Humbert,P2,1.45,1.0,1,0.45,95.1
2025-10-13,flat_favorite,Alexandre Muller,Miomir Kecmanovic,P1,1.6,1.0,0,-1.0,94.1
2025-10-13,flat_favorite,Kamil Majchrzak,Sebastian Korda,P2,1.47,1.0,1,0.47,94.57
2025-10-13,flat_favorite,Alexei Popyrin,Sebastian Korda,P2,1.48,1.0,1,0.48,95.05
2025-10-13,flat_favorite,Tallon Griekspoor,Jacob Fearnley,P1,1.4,1.0,0,-1.0,94.05
2025-10-13,flat_favorite,Marton Fucsovics,Holger Rune,P2,1.41,1.0,1,0.41,94.46
2025-10-13,flat_favorite,Tomas Martin Etcheverry,Holger Rune,P2,1.21,1.0,1,0.21,94.67
2025-10-13,flat_favorite,Sebastian Ofner,Leo Borg,P1,1.16,1.0,0,-1.0,93.67
2025-10-13,flat_favorite,James Duckworth,Ugo Blanchet,P2,1.635,1.0,0,-1.0,92.67
2025-10-13,flat_favorite,Bernard Tomic,Corentin Moutet,P2,1.21,1.0,1,0.21,92.88
2025-10-13,flat_favorite,Fabian Marozsan,Luca Nardi,P1,1.34,1.0,1,0.34,93.22
2025-10-13,flat_favorite,Gabriel Diallo,Amir Omarkhanov,P1,1.01,1.0,1,0.01,93.23
2025-10-20,flat_favorite,Stan Wawrinka,Miomir Kecmanovic,P2,1.48,1.0,0,-1.0,92.23
