match_date,strategy,p1_name,p2_name,bet_side,odds,stake,won,pnl,bankroll_after
2025-09-24,flat_random,Marton Fucsovics,Frances Tiafoe,P1,1.75,1.0,1,0.75,100.75
2025-09-24,flat_random,Matteo Berrettini,Jaume Munar,P2,1.57,1.0,0,-1.0,99.75
2025-09-24,flat_random,Daniel Altmaier,Denis Shapovalov,P2,1.28,1.0,0,-1.0,98.75
2025-09-24,flat_random,Nuno Borges,Yosuke Watanuki,P1,1.56,1.0,1,0.56,99.31
2025-09-24,flat_random,David Goffin,Arthur Rinderknech,P1,1.62,1.0,0,-1.0,98.31
2025-10-13,flat_random,Marin Cilic,Nicolai Budkov Kjaer,P2,1.81,1.0,0,-1.0,97.31
2025-10-13,flat_random,Marton Fucsovics,Jesper de Jong,P1,1.53,1.0,1,0.53,97.84
2025-10-13,flat_random,Elias Ymer,Mikael Ymer,P2,1.62,1.0,0,-1.0,96.84
2025-10-13,flat_random,Elias Ymer,Jacob Fearnley,P1,4.2,1.0,1,3.2,100.04
2025-10-13,flat_random,Kamil Majchrzak,Filip Misolic,P1,1.35,1.0,1,0.35,100.39
2025-10-13,flat_random,Matteo Berrettini,Giulio Zeppieri,P2,2.55,1.0,0,-1.0,99.39
2025-10-13,flat_random,Lorenzo Sonego,Aleksandar Kovacevic,P2,2.6,1.0,0,-1.0,98.39
2025-10-13,flat_random,Lorenzo Sonego,Arthur Fery,P2,2.2,1.0,0,-1.0,97.39
2025-10-13,flat_random,Elias Ymer,Denis Shapovalov,P2,1.23,1.0,1,0.23,97.62
2025-10-13,flat_random,Denis Shapovalov,Leo Borg,P2,7.5,1.0,0,-1.0,96.62
2025-10-13,flat_random,Marin Cilic,Casper Ruud,P2,1.35,1.0,1,0.35,96.97
2025-10-13,flat_random,Denis Shapovalov,Casper Ruud,P2,1.45,1.0,1,0.45,97.42
2025-10-13,flat_random,Casper Ruud,Sebastian Korda,P1,1.97,1.0,1,0.97,98.39
2025-10-13,flat_random,Tomas Martin Etcheverry,Miomir Kecmanovic,P2,1.69,1.0,0,-1.0,97.39
2025-10-13,flat_random,Tomas Martin Etcheverry,Mark Lajal,P1,2.12,1.0,1,1.12,98.51
2025-10-13,flat_random,Matteo Berrettini,Ugo Humbert,P2,1.85,1.0,1,0.85,99.36
2025-10-13,flat_random,Lorenzo Sonego,Ugo Humbert,P1,2.44,1.0,0,-1.0,98.36
2025-10-13,flat_random,Alexandre Muller,Miomir Kecmanovic,P1,1.6,1.0,0,-1.0,97.36
2025-10-13,flat_random,Kamil Majchrzak,Sebastian Korda,P2,1.47,1.0,1,0.47,97.83
2025-10-13,flat_random,Alexei Popyrin,Sebastian Korda,P2,1.48,1.0,1,0.48,98.31
2025-10-13,flat_random,Tallon Griekspoor,Jacob Fearnley,P2,2.61,1.0,1,1.61,99.92
2025-10-13,flat_random,Marton Fucsovics,Holger Rune,P1,2.57,1.0,0,-1.0,98.92
2025-10-13,flat_random,Tomas Martin Etcheverry,Holger Rune,P2,1.21,1.0,1,0.21,99.13
2025-10-13,flat_random,Sebastian Ofner,Leo Borg,P2,4.2,1.0,1,3.2,102.33
2025-10-13,flat_random,James Duckworth,Ugo Blanchet,P1,2.0,1.0,1,1.0,103.33
2025-10-13,flat_random,Bernard Tomic,Corentin Moutet,P1,3.575,1.0,0,-1.0,102.33
2025-10-13,flat_random,Fabian Marozsan,Luca Nardi,P1,1.34,1.0,1,0.34,102.67
2025-10-13,flat_random,Gabriel Diallo,Amir Omarkhanov,P1,1.01,1.0,1,0.01,102.68
2025-10-20,flat_random,Stan Wawrinka,Miomir Kecmanovic,P2,1.48,1.0,0,-1.0,101.68
2025-10-20,flat_random,Marin Cilic,David Goffin,P2,2.6,1.0,0,-1.0,100.68
2025-10-20,flat_random,Botic van de Zandschulp,Jiri Lehecka,P1,3.3,1.0,1,2.3,102.98
2025-10-20,flat_random,Botic van de Zandschulp,Reilly Opelka,P2,1.875,1.0,1,0.875,103.855
2025-10-20,flat_random,Reilly Opelka,Sebastian Baez,P2,3.1,1.0,0,-1.0,102.855
2025-10-20,flat_random,Taylor Fritz,Valentin Vacherot,P1,1.18,1.0,1,0.18,103.035
2025-10-20,flat_random,Marcos Giron,Denis Shapovalov,P2,1.63,1.0,1,0.63,103.665
2025-10-20,flat_random,Denis Shapovalov,Valentin Royer,P1,1.51,1.0,1,0.51,104.175
2025-10-20,flat_random,Stan Wawrinka,Casper Ruud,P2,1.15,1.0,1,0.15,104.325
2025-10-20,flat_random,Quentin Halys,Casper Ruud,P2,1.15,1.0,1,0.15,104.475
2025-10-20,flat_random,Jaume Munar,Remy Bertola,P1,1.33,1.0,1,0.33,104.805
2025-10-20,flat_random,Jaume Munar,Ben Shelton,P1,2.435,1.0,1,1.435,106.24
2025-10-20,flat_random,Marin Cilic,Felix Auger-Aliassime,P2,1.26,1.0,1,0.26,106.5
2025-10-20,flat_random,Felix Auger-Aliassime,Gabriel Diallo,P1,4.1,1.0,1,3.1,109.6
2025-10-20,flat_random,Reilly Opelka,Ugo Humbert,P2,1.3,1.0,1,0.3,109.9
2025-10-20,flat_random,Taylor Fritz,Ugo Humbert,P2,2.48,1.0,1,1.48,111.38
2025-10-20,flat_random,Ugo Humbert,Sebastian Korda,P2,1.63,1.0,0,-1.0,110.38
2025-10-20,flat_random,Lorenzo Sonego,Alejandro Davidovich Fokina,P2,1.5,1.0,1,0.5,110.88
2025-10-20,flat_random,Alejandro Davidovich Fokina,Jenson Brooksby,P1,1.59,1.0,1,0.59,111.47
2025-10-20,flat_random,Alexandre Muller,Jenson Brooksby,P1,2.92,1.0,0,-1.0,110.47
2025-10-20,flat_random,Valentin Royer,Raphael Collignon,P1,1.85,1.0,1,0.85,111.32
2025-10-20,flat_random,Henry Bernet,Jakub Mensik,P1,4.8,1.0,0,-1.0,110.32
2025-10-20,flat_random,Kamil Majchrzak,Ben Shelton,P1,2.48,1.0,0,-1.0,109.32
2025-10-20,flat_random,Jaume Munar,Joao Fonseca,P2,1.595,1.0,1,0.595,109.915
2025-10-20,flat_random,Alejandro Davidovich Fokina,Joao Fonseca,P1,1.925,1.0,0,-1.0,108.915
2025-10-20,flat_random,Giovanni Mpetshi Perricard,Joao Fonseca,P2,1.98,1.0,1,0.98,109.895
2025-10-20,flat_random,Alexander Zverev,Lorenzo Musetti,P2,1.775,1.0,0,-1.0,108.895
2025-10-20,flat_random,Alexander Zverev,Jacob Fearnley,P2,3.65,1.0,0,-1.0,107.895
2025-10-20,flat_random,Alexander Zverev,Matteo Arnaldi,P2,3.465,1.0,0,-1.0,106.895
2025-10-20,flat_random,Daniil Medvedev,Nuno Borges,P1,1.15,1.0,1,0.15,107.045
2025-10-20,flat_random,Cameron Norrie,Andrey Rublev,P2,1.41,1.0,0,-1.0,106.045
2025-10-20,flat_random,Alexander Bublik,Alejandro Tabilo,P1,1.36,1.0,1,0.36,106.405
2025-10-20,flat_random,Alexander Bublik,Francisco Cerundolo,P1,1.48,1.0,1,0.48,106.885
2025-10-20,flat_random,Cameron Norrie,Matteo Berrettini,P2,1.56,1.0,1,0.56,107.445
2025-10-20,flat_random,Matteo Berrettini,Alexei Popyrin,P1,1.57,1.0,1,0.57,108.015
2025-10-20,flat_random,Karen Khachanov,Tallon Griekspoor,P1,1.45,1.0,0,-1.0,107.015
2025-10-20,flat_random,Tallon Griekspoor,Brandon Nakashima,P1,1.82,1.0,1,0.82,107.835
2025-10-20,flat_random,Tomas Martin Etcheverry,Nicolai Budkov Kjaer,P2,2.1,1.0,0,-1.0,106.835
2025-10-20,flat_random,Damir Dzumhur,Corentin Moutet,P1,2.37,1.0,0,-1.0,105.835
2025-10-20,flat_random,Daniil Medvedev,Corentin Moutet,P1,1.355,1.0,0,-1.0,104.835
2025-10-20,flat_random,Matteo Berrettini,Alex de Minaur,P1,1.21,1.0,0,-1.0,103.835
2025-10-20,flat_random,Alex de Minaur,Jurij Rodionov,P2,8.05,1.0,0,-1.0,102.835
2025-10-20,flat_random,Alex de Minaur,Filip Misolic,P1,1.02,1.0,1,0.02,102.855
2025-10-20,flat_random,Francisco Cerundolo,Alex Michelsen,P1,1.92,1.0,1,0.92,103.775
2025-10-20,flat_random,Alexander Zverev,Jannik Sinner,P1,1.16,1.0,0,-1.0,102.775
2025-10-20,flat_random,Alexander Bublik,Jannik Sinner,P2,1.04,1.0,1,0.04,102.815
2025-10-20,flat_random,Daniel Altmaier,Jannik Sinner,P2,1.01,1.0,1,0.01,102.825
2025-10-20,flat_random,Alex de Minaur,Jannik Sinner,P2,1.05,1.0,1,0.05,102.875
2025-10-20,flat_random,Jannik Sinner,Flavio Cobolli,P1,1.01,1.0,1,0.01,102.885
2025-10-20,flat_random,Brandon Nakashima,Luciano Darderi,P1,1.28,1.0,1,0.28,103.165
2025-10-20,flat_random,Tomas Martin Etcheverry,Lorenzo Musetti,P2,3.25,1.0,1,2.25,105.415
2025-10-20,flat_random,Corentin Moutet,Lorenzo Musetti,P2,1.36,1.0,1,0.36,105.775
2025-10-20,flat_random,Lorenzo Musetti,Hamad Medjedovic,P2,2.805,1.0,0,-1.0,104.775
2025-10-20,flat_random,Tomas Machac,Flavio Cobolli,P1,1.65,1.0,0,-1.0,103.775
2025-10-20,flat_random,Aleksandar Kovacevic,Matteo Arnaldi,P1,2.35,1.0,0,-1.0,102.775
2025-10-20,flat_random,Camilo Ugo Carabelli,Filip Misolic,P2,1.35,1.0,1,0.35,103.125
2025-10-27,flat_random,Alexander Zverev,Daniil Medvedev,P2,1.65,1.0,0,-1.0,102.125
2025-10-27,flat_random,Alexander Zverev,Camilo Ugo Carabelli,P1,1.02,1.0,1,0.02,102.145
2025-10-27,flat_random,Alexander Zverev,Alejandro Davidovich Fokina,P2,2.57,1.0,0,-1.0,101.145
2025-10-27,flat_random,Grigor Dimitrov,Giovanni Mpetshi Perricard,P2,1.5,1.0,0,-1.0,100.145
2025-10-27,flat_random,Daniil Medvedev,Lorenzo Sonego,P1,1.17,1.0,1,0.17,100.315
2025-10-27,flat_random,Daniil Medvedev,Jaume Munar,P2,2.71,1.0,0,-1.0,99.315
2025-10-27,flat_random,Karen Khachanov,Ethan Quinn,P1,1.335,1.0,1,0.335,99.65
2025-10-27,flat_random,Karen Khachanov,Joao Fonseca,P1,2.2,1.0,1,1.2,100.85
2025-10-27,flat_random,Cameron Norrie,Sebastian Baez,P2,4.325,1.0,0,-1.0,99.85
2025-10-27,flat_random,Cameron Norrie,Carlos Alcaraz,P2,1.03,1.0,0,-1.0,98.85
2025-10-27,flat_random,Alexander Bublik,Taylor Fritz,P1,1.94,1.0,1,0.94,99.79
2025-10-27,flat_random,Alexander Bublik,Corentin Moutet,P2,2.2,1.0,0,-1.0,98.79
2025-10-27,flat_random,Alexander Bublik,Alex de Minaur,P1,2.44,1.0,1,1.44,100.23
