match_date,strategy,p1_name,p2_name,bet_side,odds,stake,won,pnl,bankroll_after
2025-09-24,value_dynamic,David Goffin,Arthur Rinderknech,P2,2.1,10.65,1,11.715,111.715
2025-09-24,value_dynamic,Matteo Berrettini,Jaume Munar,P1,2.17,9.99,1,11.6883,123.4033
2025-09-24,value_dynamic,Marton Fucsovics,Frances Tiafoe,P2,1.96,4.55,0,-4.55,118.8533
2025-10-13,value_dynamic,Tomas Martin Etcheverry,Mark Lajal,P1,2.12,7.28,1,8.1536,127.0069
2025-10-13,value_dynamic,Elias Ymer,Jacob Fearnley,P1,4.2,4.93,1,15.776,142.7829
2025-10-13,value_dynamic,Bernard Tomic,Corentin Moutet,P1,3.575,4.87,0,-4.87,137.9129
2025-10-20,value_dynamic,Alexander Zverev,Jannik Sinner,P2,5.3,29.79,1,128.097,266.0099
2025-10-20,value_dynamic,Felix Auger-Aliassime,Gabriel Diallo,P1,4.1,20.27,1,62.837,328.8469
2025-10-20,value_dynamic,Matteo Berrettini,Alex de Minaur,P2,4.1,18.89,1,58.559,387.4059
2025-10-27,value_dynamic,Felix Auger-Aliassime,Jannik Sinner,P2,9.0,81.25,1,650.0,1037.4059
2025-10-27,value_dynamic,Flavio Cobolli,Ben Shelton,P2,1.845,30.73,1,25.9669,1063.3727
2025-10-27,value_dynamic,Alexander Bublik,Felix Auger-Aliassime,P2,2.7,29.06,1,49.402,1112.7748
2025-11-03,value_dynamic,Cameron Norrie,Valentin Royer,P2,2.42,10.77,0,-10.77,1102.0048
2025-11-03,value_dynamic,Ugo Blanchet,Learner Tien,P1,3.9,3.63,0,-3.63,1098.3747
2026-01-04,value_dynamic,Frances Tiafoe,Aleksandar Vukic,P2,2.53,27.22,0,-27.22,1071.1547
2026-01-05,value_dynamic,Valentin Vacherot,Sebastian Korda,P1,2.47,7.98,0,-7.98,1063.1747
2026-01-06,value_dynamic,Grigor Dimitrov,Pablo Carreno Busta,P1,1.425,53.37,1,22.6822,1085.857
2026-01-06,value_dynamic,Adam Walton,Rinky Hijikata,P2,2.05,35.55,1,37.3275,1123.1845
2026-01-06,value_dynamic,Francisco Comesana,Juncheng Shang,P1,2.5,35.23,0,-35.23,1087.9545
2026-01-07,value_dynamic,Andrey Rublev,Yibing Wu,P2,2.62,89.62,0,-89.62,998.3345
2026-01-07,value_dynamic,Alex Michelsen,Learner Tien,P2,1.52,27.12,0,-27.12,971.2145
2026-01-07,value_dynamic,Daniil Medvedev,Frances Tiafoe,P2,3.375,17.89,0,-17.89,953.3245
2026-01-08,value_dynamic,Grigor Dimitrov,Raphael Collignon,P1,1.65,91.49,0,-91.49,861.8345
2026-01-08,value_dynamic,Karen Khachanov,Michael Mmoh,P2,3.25,67.06,1,150.885,1012.7195
2026-01-08,value_dynamic,Lorenzo Sonego,Juncheng Shang,P1,2.25,23.3,0,-23.3,989.4195
