match_date,strategy,p1_name,p2_name,bet_side,odds,stake,won,pnl,bankroll_after
2025-09-20,flat_favorite,belinda bencic,mishel kenin,P1,1.36,1.0,1,0.36,100.36
2025-09-20,flat_favorite,belinda bencic,karolina muchova,P2,1.535,1.0,0,-1.0,99.36
2025-09-20,flat_favorite,belinda bencic,varvara gracheva,P1,1.17,1.0,1,0.17,99.53
2025-09-20,flat_favorite,belinda bencic,linda noskova,P2,1.65,1.0,0,-1.0,98.53
2025-09-20,flat_favorite,mishel kenin,eva alexandrova,P1,1.295,1.0,1,0.295,98.825
2025-09-20,flat_favorite,mishel kenin,moyuka uchijima,P1,1.69,1.0,1,0.69,99.515
2025-09-20,flat_favorite,mishel kenin,wakana sonobe,P1,1.23,1.0,1,0.23,99.745
2025-09-20,flat_favorite,jaqueline cristian,alina charaeva,P1,1.2,1.0,1,0.2,99.945
2025-09-20,flat_favorite,karolina muchova,marketa vondrousova,P1,1.555,1.0,1,0.555,100.5
2025-09-20,flat_favorite,karolina muchova,maya joint,P1,1.27,1.0,1,0.27,100.77
2025-09-20,flat_favorite,anna kalinskaya,suzan lamens,P1,1.32,1.0,1,0.32,101.09
2025-09-20,flat_favorite,anna kalinskaya,diana shnaider,P2,1.59,1.0,0,-1.0,100.09
2025-09-20,flat_favorite,elena rybakina,gracia mboko,P1,1.28,1.0,1,0.28,100.37
2025-09-20,flat_favorite,bianca andreescu,gracia mboko,P2,1.78,1.0,1,0.78,101.15
2025-09-20,flat_favorite,gracia mboko,eva lys,P2,1.67,1.0,0,-1.0,100.15
2025-09-20,flat_favorite,shi ting wang,varvara gracheva,P1,1.69,1.0,0,-1.0,99.15
2025-09-20,flat_favorite,jaqueline cristian,eva alexandrova,P1,1.22,1.0,0,-1.0,98.15
2025-09-20,flat_favorite,katie boulter,eva lys,P2,1.405,1.0,1,0.405,98.555
2025-09-20,flat_favorite,anna kalinskaya,linda noskova,P2,1.535,1.0,1,0.535,99.09
2025-09-20,flat_favorite,linda noskova,f kessler,P1,1.56,1.0,1,0.56,99.65
2025-09-20,flat_favorite,dayana yastremska,diana shnaider,P2,1.52,1.0,1,0.52,100.17
2025-09-20,flat_favorite,viktorija golubic,maya joint,P2,1.55,1.0,1,0.55,100.72
2025-09-20,flat_favorite,cristina bucsa,f kessler,P2,1.45,1.0,1,0.45,101.17
2025-09-20,flat_favorite,pavlina bartunkova,wakana sonobe,P1,1.32,1.0,0,-1.0,100.17
2025-09-27,flat_favorite,shi ting wang,xuan yu guo,P1,1.48,1.0,1,0.48,100.65
2025-09-27,flat_favorite,meng yuan,yulia putintseva,P1,1.66,1.0,1,0.66,101.31
2025-09-27,flat_favorite,sorana cirstea,courtney b dolehide,P1,1.22,1.0,1,0.22,101.53
2025-09-27,flat_favorite,shi ting wang,shuai zhang,P1,1.65,1.0,0,-1.0,100.53
2025-09-27,flat_favorite,shuai zhang,eva zakharova,P2,1.43,1.0,0,-1.0,99.53
2025-09-27,flat_favorite,anastasija sevastova,kimberly birrell,P1,1.78,1.0,1,0.78,100.31
2025-09-27,flat_favorite,ajla tomljanovic,yuliia starodubtseva,P2,1.71,1.0,0,-1.0,99.31
2025-09-27,flat_favorite,ajla tomljanovic,jessica pegula,P2,1.12,1.0,1,0.12,99.43
2025-09-27,flat_favorite,jessica pegula,marta kostyuk,P2,1.6,1.0,0,-1.0,98.43
2025-09-27,flat_favorite,jessica pegula,emma raducanu,P1,1.61,1.0,1,0.61,99.04
2025-09-27,flat_favorite,jessica pegula,g navarro,P1,1.41,1.0,1,0.41,99.45
2025-09-27,flat_favorite,belinda bencic,priscilla hon,P1,1.24,1.0,1,0.24,99.69
2025-09-27,flat_favorite,belinda bencic,katie volynets,P1,1.36,1.0,1,0.36,100.05
2025-09-27,flat_favorite,lin zhu,moyuka uchijima,P1,1.73,1.0,1,0.73,100.78
2025-09-27,flat_favorite,mishel kenin,veronika kudermetova,P1,1.42,1.0,1,0.42,101.2
2025-09-27,flat_favorite,aliaksandra sasnovich,janice tjen,P2,1.25,1.0,0,-1.0,100.2
2025-09-27,flat_favorite,barbora krejcikova,anna blinkova,P1,1.17,1.0,1,0.17,100.37
2025-09-27,flat_favorite,barbora krejcikova,eva alexandrova,P2,1.59,1.0,0,-1.0,99.37
2025-09-27,flat_favorite,maria sakkari,e krueger,P1,1.59,1.0,1,0.59,99.96
2025-09-27,flat_favorite,veronika kudermetova,maddison inglis,P1,1.85,1.0,1,0.85,100.81
2025-09-27,flat_favorite,veronika kudermetova,anna bondar,P1,1.39,1.0,1,0.39,101.2
2025-09-27,flat_favorite,daria potapova,katerina siniakova,P2,1.4,1.0,0,-1.0,100.2
