match_date,strategy,p1_name,p2_name,bet_side,odds,stake,won,pnl,bankroll_after
2025-09-20,flat_random,belinda bencic,mishel kenin,P1,1.36,1.0,1,0.36,100.36
2025-09-20,flat_random,belinda bencic,karolina muchova,P2,1.535,1.0,0,-1.0,99.36
2025-09-20,flat_random,belinda bencic,varvara gracheva,P2,3.85,1.0,0,-1.0,98.36
2025-09-20,flat_random,belinda bencic,linda noskova,P1,1.95,1.0,1,0.95,99.31
2025-09-20,flat_random,mishel kenin,eva alexandrova,P1,1.295,1.0,1,0.295,99.605
2025-09-20,flat_random,mishel kenin,moyuka uchijima,P2,1.97,1.0,0,-1.0,98.605
2025-09-20,flat_random,mishel kenin,wakana sonobe,P1,1.23,1.0,1,0.23,98.835
2025-09-20,flat_random,jaqueline cristian,alina charaeva,P2,3.7,1.0,0,-1.0,97.835
2025-09-20,flat_random,karolina muchova,marketa vondrousova,P1,1.555,1.0,1,0.555,98.39
2025-09-20,flat_random,karolina muchova,maya joint,P1,1.27,1.0,1,0.27,98.66
2025-09-20,flat_random,anna kalinskaya,suzan lamens,P2,2.925,1.0,0,-1.0,97.66
2025-09-20,flat_random,anna kalinskaya,diana shnaider,P2,1.59,1.0,0,-1.0,96.66
2025-09-20,flat_random,elena rybakina,gracia mboko,P2,3.425,1.0,0,-1.0,95.66
2025-09-20,flat_random,bianca andreescu,gracia mboko,P2,1.78,1.0,1,0.78,96.44
2025-09-20,flat_random,gracia mboko,eva lys,P2,1.67,1.0,0,-1.0,95.44
2025-09-20,flat_random,shi ting wang,varvara gracheva,P2,1.985,1.0,1,0.985,96.425
2025-09-20,flat_random,jaqueline cristian,eva alexandrova,P2,3.75,1.0,1,2.75,99.175
2025-09-20,flat_random,katie boulter,eva lys,P1,2.645,1.0,0,-1.0,98.175
2025-09-20,flat_random,anna kalinskaya,linda noskova,P2,1.535,1.0,1,0.535,98.71
2025-09-20,flat_random,linda noskova,f kessler,P1,1.56,1.0,1,0.56,99.27
2025-09-20,flat_random,dayana yastremska,diana shnaider,P2,1.52,1.0,1,0.52,99.79
2025-09-20,flat_random,viktorija golubic,maya joint,P1,2.225,1.0,0,-1.0,98.79
2025-09-20,flat_random,cristina bucsa,f kessler,P1,2.44,1.0,0,-1.0,97.79
2025-09-20,flat_random,pavlina bartunkova,wakana sonobe,P2,2.95,1.0,1,1.95,99.74
2025-09-27,flat_random,shi ting wang,xuan yu guo,P2,2.44,1.0,0,-1.0,98.74
2025-09-27,flat_random,meng yuan,yulia putintseva,P2,2.07,1.0,0,-1.0,97.74
2025-09-27,flat_random,sorana cirstea,courtney b dolehide,P1,1.22,1.0,1,0.22,97.96
2025-09-27,flat_random,shi ting wang,shuai zhang,P2,2.1,1.0,1,1.1,99.06
2025-09-27,flat_random,shuai zhang,eva zakharova,P2,1.43,1.0,0,-1.0,98.06
2025-09-27,flat_random,anastasija sevastova,kimberly birrell,P1,1.78,1.0,1,0.78,98.84
2025-09-27,flat_random,ajla tomljanovic,yuliia starodubtseva,P1,2.1,1.0,1,1.1,99.94
2025-09-27,flat_random,ajla tomljanovic,jessica pegula,P1,5.2,1.0,0,-1.0,98.94
2025-09-27,flat_random,jessica pegula,marta kostyuk,P1,2.155,1.0,1,1.155,100.095
2025-09-27,flat_random,jessica pegula,emma raducanu,P2,2.18,1.0,0,-1.0,99.095
2025-09-27,flat_random,jessica pegula,g navarro,P2,2.65,1.0,0,-1.0,98.095
2025-09-27,flat_random,belinda bencic,priscilla hon,P1,1.24,1.0,1,0.24,98.335
2025-09-27,flat_random,belinda bencic,katie volynets,P2,2.8,1.0,0,-1.0,97.335
2025-09-27,flat_random,lin zhu,moyuka uchijima,P2,1.96,1.0,0,-1.0,96.335
2025-09-27,flat_random,mishel kenin,veronika kudermetova,P1,1.42,1.0,1,0.42,96.755
2025-09-27,flat_random,aliaksandra sasnovich,janice tjen,P2,1.25,1.0,0,-1.0,95.755
2025-09-27,flat_random,barbora krejcikova,anna blinkova,P1,1.17,1.0,1,0.17,95.925
2025-09-27,flat_random,barbora krejcikova,eva alexandrova,P2,1.59,1.0,0,-1.0,94.925
2025-09-27,flat_random,maria sakkari,e krueger,P2,2.05,1.0,0,-1.0,93.925
2025-09-27,flat_random,veronika kudermetova,maddison inglis,P1,1.85,1.0,1,0.85,94.775
2025-09-27,flat_random,veronika kudermetova,anna bondar,P1,1.39,1.0,1,0.39,95.165
2025-09-27,flat_random,daria potapova,katerina siniakova,P2,1.4,1.0,0,-1.0,94.165
2025-09-27,flat_random,daria potapova,gracia mboko,P1,2.25,1.0,1,1.25,95.415
2025-09-27,flat_random,daria potapova,zeynep sonmez,P2,2.38,1.0,0,-1.0,94.415
2025-09-27,flat_random,patricia fargas osorio,anna kalinskaya,P2,1.35,1.0,0,-1.0,93.415
2025-09-27,flat_random,katie boulter,lauryn john baptiste,P2,2.1,1.0,0,-1.0,92.415
2025-09-27,flat_random,anastasija sevastova,jasmine paolini,P2,1.14,1.0,1,0.14,92.555
2025-09-27,flat_random,mishel kenin,jasmine paolini,P1,3.4,1.0,0,-1.0,91.555
2025-09-27,flat_random,jasmine paolini,marie bouzkova,P1,1.42,1.0,1,0.42,91.975
2025-09-27,flat_random,paula badosa,antonia ruzic,P1,1.36,1.0,1,0.36,92.335
2025-09-27,flat_random,kristyna sramkova,elena gabriela ruse,P1,1.72,1.0,0,-1.0,91.335
2025-09-27,flat_random,viktorija golubic,priscilla hon,P1,1.88,1.0,0,-1.0,90.335
2025-09-27,flat_random,ekaterina ostapenko,priscilla hon,P2,2.32,1.0,1,1.32,91.655
2025-09-27,flat_random,dildora rakhimova,lucia bronzetti,P1,1.58,1.0,1,0.58,92.235
2025-09-27,flat_random,magda linette,marie bouzkova,P2,1.32,1.0,1,0.32,92.555
2025-09-27,flat_random,veronika kudermetova,marie bouzkova,P2,1.77,1.0,1,0.77,93.325
2025-09-27,flat_random,tatjana maria,marie bouzkova,P2,1.25,1.0,1,0.25,93.575
2025-09-27,flat_random,donna vekic,cristina bucsa,P2,1.59,1.0,1,0.59,94.165
2025-09-27,flat_random,sorana cirstea,karolina muchova,P1,2.18,1.0,0,-1.0,93.165
2025-09-27,flat_random,paula badosa,karolina muchova,P2,1.43,1.0,1,0.43,93.595
2025-09-27,flat_random,anna bondar,bianca andreescu,P1,2.58,1.0,1,1.58,95.175
2025-09-27,flat_random,elena rybakina,caty mcnally,P1,1.17,1.0,1,0.17,95.345
2025-09-27,flat_random,emiliana arango,suzan lamens,P2,1.79,1.0,0,-1.0,94.345
2025-09-27,flat_random,laura siegemund,caty mcnally,P1,2.39,1.0,0,-1.0,93.345
2025-09-27,flat_random,aliaksandra sasnovich,marta kostyuk,P1,4.6,1.0,0,-1.0,92.345
2025-09-27,flat_random,marta kostyuk,ella seidel,P1,1.28,1.0,1,0.28,92.625
