match_date,strategy,p1_name,p2_name,bet_side,odds,stake,won,pnl,bankroll_after
2025-09-20,value_dynamic,jaqueline cristian,eva alexandrova,P2,3.75,17.03,1,46.8325,146.8325
2025-09-20,value_dynamic,bianca andreescu,gracia mboko,P2,1.78,16.66,1,12.9948,159.8273
2025-09-20,value_dynamic,mishel kenin,moyuka uchijima,P1,1.69,16.31,1,11.2539,171.0812
2025-09-27,value_dynamic,meng yuan,iga swiatek,P2,16.0,29.54,1,443.1,614.1812
2025-09-27,value_dynamic,dildora rakhimova,coco gauff,P2,8.75,29.0,1,224.75,838.9312
2025-09-27,value_dynamic,belinda bencic,katie volynets,P1,1.36,27.0,1,9.72,848.6512
2025-10-19,value_dynamic,meng yuan,jasmine paolini,P2,1.215,145.81,1,31.3492,880.0004
2025-10-19,value_dynamic,yulia putintseva,linda noskova,P2,1.65,139.82,1,90.883,970.8834
2025-10-19,value_dynamic,veronika kudermetova,magdalena frech,P2,2.535,138.7,1,212.9045,1183.7879
2026-01-01,value_dynamic,ajla tomljanovic,karolina muchova,P2,1.305,203.67,1,62.1193,1245.9072
2026-01-01,value_dynamic,sorana cirstea,aryna sabalenka,P2,1.08,194.28,1,15.5424,1261.4496
2026-01-01,value_dynamic,anna kalinskaya,tereza valentova,P1,2.25,193.94,1,242.425,1503.8746
2026-01-06,value_dynamic,janice tjen,sonay kartal,P2,2.05,259.32,1,272.286,1776.1606
2026-01-06,value_dynamic,maria sakkari,daria kasatkina,P2,2.35,248.14,1,334.989,2111.1496
2026-01-06,value_dynamic,madison keys,tereza valentova,P1,1.59,244.48,1,144.2432,2255.3928
2026-01-12,value_dynamic,magda linette,oksana selekhmeteva,P1,1.95,382.48,1,363.356,2618.7488
2026-01-12,value_dynamic,jessica bouzas maneiro,j preston,P2,3.72,374.73,1,1019.2656,3638.0144
2026-01-12,value_dynamic,olga danilovic,antonia ruzic,P2,2.3,370.49,1,481.637,4119.6514
2026-01-19,value_dynamic,jaqueline cristian,karolina muchova,P2,4.7,778.88,1,2881.856,7001.5074
2026-01-19,value_dynamic,viktorija golubic,varvara gracheva,P2,1.92,661.45,1,608.534,7610.0414
2026-01-19,value_dynamic,elena rybakina,tereza valentova,P1,1.17,619.5,1,105.315,7715.3564
2026-02-09,value_dynamic,karolina muchova,tereza valentova,P1,1.42,1333.72,1,560.1624,8275.5188
2026-02-09,value_dynamic,karolina muchova,anna kalinskaya,P1,1.58,1268.02,1,735.4516,9010.9704
2026-02-09,value_dynamic,elisabetta cocciaretto,elsa jacquemot,P1,1.44,1255.94,1,552.6136,9563.584
2026-02-16,value_dynamic,sorana cirstea,alexandra eala,P2,3.05,1681.59,1,3447.2595,13010.8435
2026-02-16,value_dynamic,jaqueline cristian,petra marcinko,P1,1.68,1566.61,1,1065.2948,14076.1383
2026-02-16,value_dynamic,emma raducanu,antonia ruzic,P2,3.75,1533.59,1,4217.3725,18293.5108
2026-03-02,value_dynamic,Dalma Galfi,Yi Yuan,P1,2.06,2501.98,1,2652.0988,20945.6096
2026-03-02,value_dynamic,Rebeka Masarova,Mananchaya Sawangkaew,P2,2.22,1283.4,1,1565.748,22511.3576
2026-03-02,value_dynamic,Priscilla Hon,Renata Zarazua,P1,2.06,424.7,1,450.182,22961.5396
2026-03-03,value_dynamic,Priscilla Hon,Darja Vidmanova,P1,2.35,4324.98,0,-4324.98,18636.5596
2026-03-03,value_dynamic,Lucrezia Stefanini,Victoria Jimenez Kasintseva,P2,1.46,3632.36,1,1670.8856,20307.4452
2026-03-03,value_dynamic,Mananchaya Sawangkaew,Marina Stakusic,P1,2.1,3523.43,0,-3523.43,16784.0152
2026-03-04,value_dynamic,Anastasia Potapova,Marina Stakusic,P2,1.86,2724.93,0,-2724.93,14059.0852
2026-03-04,value_dynamic,Ang Li,Talia Gibson,P2,2.35,2077.57,1,2804.7195,16863.8047
2026-03-04,value_dynamic,Anastasia Zakharova,Ella Seidel,P1,1.63,1704.98,1,1074.1374,17937.9421
2026-03-05,value_dynamic,Magda Linette,Adelina Krueger,P1,1.81,3046.89,0,-3046.89,14891.0521
2026-03-05,value_dynamic,Alycia Parks,Himeno Sakatsume,P2,2.0,2999.95,1,2999.95,17891.0021
2026-03-05,value_dynamic,Kayla Day,F Jones,P1,1.64,2922.14,1,1870.1696,19761.1717
2026-03-06,value_dynamic,Kimberly Birrell,Victoria Mboko,P1,4.9,3749.7,0,-3749.7,16011.4717
2026-03-06,value_dynamic,Emiliana Arango,Hailey Baptiste,P1,3.5,3156.26,0,-3156.26,12855.2117
2026-03-06,value_dynamic,Ajla Tomljanovic,Xin Yu Wang,P1,1.78,2974.63,1,2320.2114,15175.4231
2026-03-07,value_dynamic,Elodie Navarro,Sonay Kartal,P2,1.85,2823.51,1,2399.9835,17575.4066
2026-03-07,value_dynamic,Camilo Osorio,Iva Jovic,P1,2.88,2466.87,1,4637.7156,22213.1222
2026-03-07,value_dynamic,Jelena Ostapenko,Katie Volynets,P2,2.4,2297.34,0,-2297.34,19915.7822
2026-03-08,value_dynamic,Ti Townsend,Mariya Kostyuk,P1,2.35,3716.08,0,-3716.08,16199.7022
2026-03-08,value_dynamic,L Fernandez,Katerina Siniakova,P2,1.755,3436.11,1,2594.263,18793.9653
2026-03-08,value_dynamic,Elise Mertens,Cristina Bucsa,P2,2.75,2805.7,0,-2805.7,15988.2653
2026-03-09,value_dynamic,Anna Kalinskaya,Victoria Mboko,P1,2.4,3341.31,0,-3341.31,12646.9553
2026-03-09,value_dynamic,Katerina Siniakova,Mirra Andreeva,P1,4.9,1462.32,1,5703.048,18350.0033
2026-03-09,value_dynamic,Jessica Pegula,Jelena Ostapenko,P1,1.2,1359.74,1,271.948,18621.9513
2026-03-10,value_dynamic,Elena Rybakina,Mariya Kostyuk,P1,1.26,3415.85,1,888.121,19510.0723
2026-03-10,value_dynamic,Elina Svitolina,Adelina Krueger,P1,1.25,2640.7,1,660.175,20170.2473
2026-03-10,value_dynamic,Jasmine Paolini,Talia Gibson,P1,1.38,1597.09,0,-1597.09,18573.1573
2026-03-11,value_dynamic,Amanda Anisimova,Victoria Mboko,P1,1.6,3071.69,0,-3071.69,15501.4672
2026-03-12,value_dynamic,Aryna Sabalenka,Victoria Mboko,P1,1.28,3007.58,1,842.1224,16343.5896
2026-03-12,value_dynamic,Talia Gibson,Linda Noskova,P1,3.65,677.79,0,-677.79,15665.7997
