bin,count,avg_pred,avg_true,abs_gap
0,60,0.06331381266866086,0.05,0.013313812668660857
1,145,0.15715499633143457,0.1724137931034483,0.015258796772013722
2,309,0.2562794990024688,0.2588996763754045,0.0026201773729356836
3,479,0.3505925525639659,0.3695198329853862,0.018927280421420334
4,556,0.45193899287647327,0.447841726618705,0.0040972662577682395
5,481,0.5481035268783558,0.5176715176715176,0.030432009206838195
6,406,0.6487623751735445,0.6280788177339901,0.020683557439554412
7,308,0.7443213771093713,0.711038961038961,0.03328241607041027
8,181,0.846940458226038,0.7679558011049724,0.07898465712106562
9,56,0.9277585062715507,0.9285714285714286,0.0008129222998779495
