bin,count,avg_pred,avg_true,abs_gap
0,140,0.03604464448956496,0.014285714285714285,0.021758930203850675
1,68,0.15144174883236494,0.11764705882352941,0.03379469000883553
2,64,0.2554832051114337,0.171875,0.08360820511143369
3,54,0.3556067896622629,0.3333333333333333,0.022273456328929575
4,53,0.44663647331744916,0.37735849056603776,0.0692779827514114
5,71,0.545642880952129,0.6197183098591549,0.0740754289070259
6,65,0.6528397723828994,0.7384615384615385,0.08562176607863914
7,80,0.7551014792838057,0.7875,0.03239852071619431
8,78,0.8428476962114061,0.8076923076923077,0.035155388519098385
9,179,0.9610680617314186,0.9608938547486033,0.00017420698281522817
