model,feature,importance
catboost,elo_diff_overall,30.744569436030055
catboost,p2_matches_played_before,9.581388204914209
catboost,elo_diff_surface,8.007563461719185
catboost,p2_rank,7.069511900397968
catboost,p1_rank,3.291431059092193
catboost,p1_matches_played_before,3.085814948762435
catboost,p2_elo_overall,2.389615645526824
catboost,surface,1.8810337664897627
catboost,p2_ace_pct,1.821448287327364
catboost,p2_elo_surface,1.7908681349778723
catboost,p2_matches_last_14d,1.6123018829136568
catboost,p1_matches_last_14d,1.5678895475287964
catboost,best_of,1.5332415432878896
catboost,p1_days_since_last_match,1.5304819493704538
catboost,p2_days_since_last_match,1.4906394182063667
catboost,p1_ace_pct,1.4890610608739856
catboost,tournament_level,1.462278079659517
catboost,p2_win_pct_20,1.3807430501168871
catboost,p1_win_pct_20,1.2283385524318728
catboost,p1_win_pct_surface_10,1.2003324055416504
catboost,p1_1st_serve_pct,1.1184895996113269
catboost,p1_home_win_pct,0.9699891600918493
catboost,p1_elo_overall,0.9662338200894681
catboost,p2_win_pct_surface_10,0.9201115948714997
catboost,p1_elo_surface,0.9017453229958221
catboost,p2_1st_serve_pct,0.876326222083792
catboost,p1_bp_save_pct,0.783742562725791
catboost,p2_bp_save_pct,0.6750759356648307
catboost,round,0.6330559752842664
catboost,p2_home_win_pct,0.5893585298343935
catboost,h2h_p1_win_pct,0.5876539146316108
catboost,p1_title_count_12m,0.5575571256911451
catboost,p2_sets_played_last_7d,0.4874683225430729
catboost,home_advantage_flag,0.4755791263031326
catboost,p2_tournament_wins_current,0.4220833693368387
catboost,p1_win_pct_5,0.4158743519643647
xgboost,elo_diff_overall,0.41129425168037415
catboost,p1_current_lose_streak,0.3837346214256405
catboost,p1_tournament_wins_current,0.3577219787870944
catboost,p1_win_pct_10,0.3471049367049183
catboost,p1_sets_played_last_7d,0.33701289529090434
catboost,p2_title_count_12m,0.2938323148163693
catboost,p2_current_lose_streak,0.28553720488842604
catboost,h2h_p1_wins,0.2694857148584283
catboost,h2h_p2_wins,0.26134538776833266
catboost,p2_win_pct_10,0.26011084289158154
catboost,h2h_total,0.2283154787293702
catboost,p2_streak_5,0.22157353867004664
catboost,p1_current_win_streak,0.19439469474659676
catboost,p2_is_home,0.1907532046810113
catboost,p2_win_pct_5,0.1901208951860296
catboost,p2_current_win_streak,0.17974604316619275
catboost,p1_streak_5,0.1429893640187996
catboost,h2h_surface_p2_wins,0.1396919011522511
catboost,h2h_surface_p1_wins,0.10691304399360732
catboost,p1_is_home,0.07071866933231284
xgboost,p2_matches_played_before,0.037590011954307556
xgboost,elo_diff_surface,0.028705865144729614
xgboost,tournament_level_Other,0.02007441408932209
xgboost,best_of_5,0.019495930522680283
xgboost,p2_rank,0.01759164035320282
xgboost,p2_matches_last_14d,0.015500867739319801
xgboost,surface_Clay,0.014837373048067093
xgboost,round_RR,0.013523628935217857
xgboost,p1_matches_last_14d,0.013264205306768417
xgboost,p1_tournament_wins_current,0.011080176569521427
xgboost,h2h_p1_win_pct,0.011045251041650772
xgboost,p1_days_since_last_match,0.01060884352773428
xgboost,surface_Grass,0.010595918633043766
xgboost,p1_rank,0.010439570061862469
xgboost,surface_Unknown,0.010433568619191647
xgboost,best_of_3,0.009440774098038673
xgboost,p2_days_since_last_match,0.009374397806823254
xgboost,p2_elo_surface,0.00931345671415329
xgboost,p1_matches_played_before,0.009266864508390427
xgboost,p1_title_count_12m,0.009045210666954517
xgboost,p1_win_pct_surface_10,0.008748074993491173
