model,feature,importance
catboost,p2_rank,41.090248217348616
catboost,p1_rank,27.185632102020264
catboost,elo_diff_overall,8.545673980765645
catboost,p1_elo_overall,5.754113323538009
catboost,p2_elo_overall,4.821577678148684
catboost,p1_matches_played_before,2.3092550069462625
catboost,p2_matches_played_before,1.5688820026800043
catboost,elo_diff_surface,1.0170598256551862
catboost,p2_elo_surface,0.5379942154251788
catboost,p2_days_since_last_match,0.4776901818711768
catboost,p2_bp_save_pct,0.4690492536976023
catboost,p1_ace_pct,0.46879965480221614
catboost,p2_ace_pct,0.46322529388586103
catboost,tournament_level,0.4122244770823206
catboost,p1_win_pct_20,0.3887016417740426
catboost,p1_matches_last_14d,0.37336993102899185
catboost,p1_bp_save_pct,0.36358585241597097
catboost,p2_matches_last_14d,0.34732732915053294
catboost,surface,0.30286810057379204
catboost,p2_win_pct_20,0.2684602412776276
catboost,p1_win_pct_surface_10,0.2680298622737489
xgboost,p1_rank,0.24806679785251617
catboost,p1_days_since_last_match,0.23328449391315173
catboost,p2_1st_serve_pct,0.21719516363019345
catboost,p2_streak_5,0.21356873051142627
catboost,p1_elo_surface,0.1964373608496743
catboost,p1_title_count_12m,0.16794904805728533
xgboost,round_RR,0.15712618827819824
catboost,p2_win_pct_surface_10,0.1510996162163661
catboost,p1_1st_serve_pct,0.14266345590460913
catboost,p1_win_pct_10,0.12436210095682851
catboost,p2_sets_played_last_7d,0.11381872574525086
catboost,p2_home_win_pct,0.10486056625465578
catboost,p1_home_win_pct,0.10331089473456181
catboost,h2h_p1_win_pct,0.08671903496312044
catboost,round,0.079173299687033
catboost,p2_win_pct_5,0.06989920687447637
catboost,p2_win_pct_10,0.06465095124261745
catboost,p1_win_pct_5,0.05758575253385633
xgboost,elo_diff_overall,0.054807234555482864
catboost,p2_title_count_12m,0.05463800234131689
catboost,h2h_surface_p1_wins,0.046258032737581056
catboost,p2_current_win_streak,0.043001123453888644
xgboost,p2_rank,0.04003965109586716
catboost,p2_current_lose_streak,0.03371778966967274
catboost,h2h_p2_wins,0.03312439239395962
catboost,p1_is_home,0.030083687992615054
catboost,p1_sets_played_last_7d,0.028985027082309493
catboost,p1_streak_5,0.028547408947451055
catboost,h2h_surface_p2_wins,0.026991632613630797
catboost,p1_current_lose_streak,0.021917971780614717
catboost,p2_is_home,0.01781804811708815
catboost,p1_current_win_streak,0.017000339688849817
catboost,h2h_total,0.015437350116534925
xgboost,elo_diff_surface,0.014943844638764858
catboost,h2h_p1_wins,0.014006577463386396
xgboost,p1_bp_save_pct,0.013627156615257263
catboost,home_advantage_flag,0.012669415210976689
xgboost,surface_Unknown,0.011749982833862305
xgboost,p1_matches_last_14d,0.01140685100108385
catboost,p1_tournament_wins_current,0.011240333804182457
xgboost,p2_matches_last_14d,0.011075107380747795
xgboost,p1_elo_overall,0.010341963730752468
xgboost,p2_days_since_last_match,0.009988861158490181
xgboost,p2_elo_overall,0.009508982300758362
xgboost,p2_bp_save_pct,0.0094829136505723
xgboost,tournament_level_Team_Event,0.009173911064863205
xgboost,p1_days_since_last_match,0.009155591018497944
xgboost,p2_matches_played_before,0.009055087342858315
xgboost,p1_matches_played_before,0.008886335417628288
xgboost,p2_win_pct_5,0.008802495896816254
xgboost,round_R128,0.008766009472310543
xgboost,p1_is_home,0.008241882547736168
xgboost,surface_Grass,0.00818981509655714
xgboost,surface_Carpet,0.00816477183252573
xgboost,p2_ace_pct,0.008146664127707481
xgboost,h2h_p1_win_pct,0.007998025976121426
xgboost,home_advantage_flag,0.007935995236039162
xgboost,p1_ace_pct,0.00789877399802208
xgboost,p1_win_pct_surface_10,0.007713244296610355
xgboost,p1_streak_5,0.007599657867103815
xgboost,p2_streak_5,0.007566522341221571
xgboost,p2_home_win_pct,0.007517315912991762
xgboost,p1_home_win_pct,0.007388700265437365
xgboost,p1_elo_surface,0.007317360956221819
xgboost,p2_elo_surface,0.0073118614964187145
xgboost,p1_1st_serve_pct,0.0071973479352891445
xgboost,p2_is_home,0.0071799261495471
xgboost,p2_1st_serve_pct,0.007172543089836836
xgboost,p2_win_pct_20,0.0071585397236049175
xgboost,p1_title_count_12m,0.007150204386562109
xgboost,surface_Hard,0.007138107903301716
xgboost,p1_win_pct_10,0.007104713004082441
xgboost,tournament_level_other,0.007043774705380201
xgboost,p1_win_pct_5,0.006969122216105461
xgboost,surface_Clay,0.006916133686900139
xgboost,round_R64,0.0068844640627503395
xgboost,round_R16,0.006873898673802614
xgboost,tournament_level_Finals,0.0068445224314928055
xgboost,p2_current_win_streak,0.006841261871159077
xgboost,p1_win_pct_20,0.006711650174111128
xgboost,round_R32,0.006659346166998148
xgboost,p2_win_pct_10,0.006628104485571384
xgboost,tournament_level_Grand_Slam,0.006610489916056395
xgboost,h2h_p2_wins,0.006603963673114777
xgboost,p2_win_pct_surface_10,0.00653164554387331
xgboost,round_QF,0.00652445200830698
xgboost,h2h_surface_p2_wins,0.006510723847895861
xgboost,p2_current_lose_streak,0.006465023383498192
xgboost,p2_sets_played_last_7d,0.0063774180598556995
xgboost,p1_tournament_wins_current,0.006336692720651627
xgboost,p2_tournament_wins_current,0.006282029207795858
xgboost,p1_sets_played_last_7d,0.006277133245021105
xgboost,p2_title_count_12m,0.006095916032791138
xgboost,h2h_p1_wins,0.0060762385837733746
xgboost,p1_current_lose_streak,0.00592648983001709
xgboost,round_F,0.005821190308779478
xgboost,h2h_total,0.005785622168332338
xgboost,round_SF,0.005617774091660976
xgboost,tournament_level_Other,0.005474557634443045
xgboost,h2h_surface_p1_wins,0.005185980815440416
xgboost,p1_current_win_streak,0.005025128368288279
catboost,p2_tournament_wins_current,0.004216292149076317
xgboost,round_BR,0.001002238830551505
catboost,best_of,0.0
xgboost,surface_NA,0.0
xgboost,tournament_level_NA,0.0
xgboost,round_NA,0.0
xgboost,best_of_1,0.0
xgboost,best_of_3,0.0
xgboost,best_of_5,0.0
xgboost,best_of_NA,0.0
